datum,aantal
15-08-2025,80
16-08-2025,80
16-08-2025,80
18-08-2025,91
19-08-2025,98
20-08-2025,107
21-08-2025,117
22-08-2025,125
23-08-2025,125
24-08-2025,125
25-08-2025,132
26-08-2025,138
27-08-2025,152
28-08-2025,160
29-08-2025,162
30-08-2025,162
31-08-2025,162
01-09-2025,165
02-09-2025,167
03-09-2025,182
04-09-2025,194
05-09-2025,197
06-09-2025,197
07-09-2025,197
08-09-2025,201
09-09-2025,205
10-09-2025,208
11-09-2025,210
12-09-2025,212
13-09-2025,212
14-09-2025,212
15-09-2025,218
16-09-2025,224
17-09-2025,227
18-09-2025,229
19-09-2025,230
20-09-2025,230
21-09-2025,230
22-09-2025,235
